filename,session_root,acquisition_time,G_meas,S_meas,G_std,S_std,phase_corr_rad,mod_corr
1_chromablue_740nm_3033mW_u80_poc0_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_30f_0000.sdt,20260429_KPC_fixed_dishes_on_SLIM,2026-04-30 08:37:55.720027,0.19263574476760717,0.8445705121659,0.05545626912355429,0.030105746951340877,-0.8969560694843215,1.039670273772257
6_chromablue_740nm_3040mW_u80_poc0_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_30f_0000.sdt,20260429_KPC_fixed_dishes_on_SLIM,2026-04-30 11:26:46.261519,0.19350612055544522,0.8454525752328108,0.05265013208596224,0.028322255940723427,-0.8962038249563722,1.0384070912139887
1_chromablue_740nm_3026mW_u80_poc0_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_45f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM,2026-05-02 02:07:12.295790,0.19398621542138658,0.8402267224556977,0.04491145383659016,0.025032724569064066,-0.8943090362209516,1.044410532192327
7_chromablue_740nm_3042mW_u80_poc0_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_45f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM,2026-05-02 03:40:29.371671,0.1929594428296511,0.8450633859786851,0.042729240278245345,0.022870087493683834,-0.8967184294148205,1.039007548288181
10_chromablue_740nm_3040mW_u80_poc0_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_45f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM,2026-05-02 09:35:22.428110,0.21152628585249295,0.8329051051959101,0.06208892080518032,0.034342151560448855,-0.8725028688304457,1.0480370394723884
19_chromablue_740nm_3040mW_u1_poc0_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_45f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM,2026-05-02 12:27:05.914299,0.17610208264758137,0.7922239620161109,0.05276269189560498,0.040700151781864154,-0.9024751564440481,1.109745310373399
1_chromablue_740nm_3030mW_u80_poc0_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_45f_0000.sdt,20260508_KPC_live_on_SLIM,2026-05-09 10:14:34.247660,0.18992781654608012,0.8278390005857751,0.05143216964647184,0.032405654416151446,-0.895683838933534,1.0603744750894946
5_chromablue_740nm_3030mW_u80_poc0_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_45f_0000.sdt,20260508_KPC_live_on_SLIM,2026-05-09 13:33:17.785651,0.19048587638372336,0.8414948144993681,0.05028194624932377,0.028382096536873597,-0.898592718440846,1.0438584392047938
1_chromablue_740nm_3006mW_u80_poc0_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_45f_0000.sdt,20260509_KPC_fixed_dishes_on_SLIM,2026-05-10 08:57:49.200839,0.19755000324555036,0.8380960677574969,0.056526081821412104,0.03240941931146439,-0.8897196419560465,1.0459452284049977
6_chromablue_740nm_3008mW_u80_poc0_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_60f_0000.sdt,20260509_KPC_fixed_dishes_on_SLIM,2026-05-10 13:49:46.684459,0.1982873743561752,0.8413825996170796,0.04552034871142679,0.02505961785672932,-0.8897616481954607,1.0418699676497094
1_chromablue_740nm_3098mW_u80_poc0_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_45f_0000.sdt,20260517_KPC_live_on_SLIM,2026-05-18 08:35:47.016083,0.18283216135699842,0.8433159066558922,0.047679696618994856,0.026957204650671352,-0.9077095925756504,1.0437105816798464
4_chroma_740nm_3097mW_u80_poc0_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_45f_0001.sdt,20260517_KPC_live_on_SLIM,2026-05-18 12:41:43.330152,0.17421331771547932,0.811113583304843,0.04720970669750479,0.033982827298404426,-0.909638396356997,1.085599079959004
1_chromablue_740nm_3083mW_u80_poc0_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_45f_0000.sdt,20260520_KPC_fixed_dishes_SLIM,2026-05-21 09:17:05.754839,0.18746545014117172,0.8456811141952963,0.0469592955473359,0.025675753119748252,-0.9030606391813036,1.0397312664928717
6_chromablue_740nm_3097mW_u80_poc0_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_60f_0000.sdt,20260520_KPC_fixed_dishes_SLIM,2026-05-21 14:26:39.776954,0.18512542314218247,0.8420800511852243,0.04067179139482952,0.02299081143040231,-0.9048064585270774,1.0445800712384372
1_chroma_740nm_3085mW_u80_poc0_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_45f_0000.sdt,20260521_KPC_live_SLIM,2026-05-22 07:39:42.739456,0.18705716761918653,0.8468708838948225,0.0479720182821483,0.025738526674195426,-0.9038171354526128,1.0384443632446156
6_chromablue_740nm_3085mW_u80_poc0_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_60f_0000.sdt,20260521_KPC_live_SLIM,2026-05-22 11:19:09.668384,0.18657653686458828,0.8446393154655719,0.04765234490079769,0.026247750353234813,-0.9038032742623077,1.0411847839363777
1_chromablue_740nm_3049mW_u80_poc0_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_45f_0000.sdt,20260522_KPC_fixed_dishes_SLIM,2026-05-23 04:46:23.926385,0.19205515462428366,0.8446169248275767,0.05064172352060785,0.027545345248577706,-0.8976214920239423,1.0397706991726443
6_chromablue_740nm_3069mW_u80_poc0_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0000.sdt,20260522_KPC_fixed_dishes_SLIM,2026-05-23 06:50:21.298249,0.18635407124802938,0.8330685798022841,0.03320904405775602,0.020425689275162334,-0.9011341403500217,1.055019940466389
