sdt_filename,fit_set_key,fit_folder,n_components,params_available
0_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_30f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sf-2component-b5::0_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_30f_0000,batch1\fitet-sf-2component-b5,2,"a1, a2, chi2, photons, tau1, tau2"
0_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_30f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sf-3component-b5::0_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_30f_0000,batch1\fitet-sf-3component-b5,3,"a1, a2, a3, chi2, photons, tau1, tau2, tau3"
0_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_30f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sf-c2-b5::0_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_30f_0000,batch1\fitet-sf-c2-b5,2,"a1, a2, chi2, photons, tau1, tau2"
0_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_30f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sf-c2-b7::0_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_30f_0000,batch1\fitet-sf-c2-b7,3,"a1, a2, a3, chi2, photons, tau1, tau2, tau3"
0_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_30f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sf-c3-b5::0_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_30f_0000,batch1\fitet-sf-c3-b5,3,"a1, a2, a3, chi2, photons, tau1, tau2, tau3"
0_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_30f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sz-1component-b5::0_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_30f_0000,batch1\fitet-sz-1component-b5,3,"a1, a2, a3, chi2, photons, tau1, tau2, tau3"
0_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_30f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sz-2component-b5::0_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_30f_0000,batch1\fitet-sz-2component-b5,3,"a1, a2, a3, chi2, photons, tau1, tau2, tau3"
0_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_30f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sz-3component-b5::0_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_30f_0000,batch1\fitet-sz-3component-b5,3,"a1, a2, a3, chi2, photons, tau1, tau2, tau3"
0_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_30f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sz-c1-b5::0_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_30f_0000,batch1\fitet-sz-c1-b5,3,"a1, a2, a3, chi2, photons, tau1, tau2, tau3"
0_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_30f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sz-c2-b5::0_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_30f_0000,batch1\fitet-sz-c2-b5,3,"a1, a2, a3, chi2, photons, tau1, tau2, tau3"
