filename,fixation_type,chi2_mean,chi2_median,frac_hi,fit_set_key,has_shift_export,shift_nonzero_px,shift_max_abs_ps,shift_mean_ps,shift_std_ps,tau1_n_valid,tau1_frac_lt_thresh,tau1_median_ps,tau1_min_photons
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p15_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_90f_0000.sdt,glu,5.390315735594617,5.57995,0.9646604254799248,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sz-1component-b5::3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p15_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_90f_0000,True,1,0.59961,-9.149322509765625e-06,0.0023422086926613048,0,,,100.0
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0000.sdt,glu,15.360588477020265,15.88405,0.999542236328125,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sz-1component-b5::3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0000,True,1,0.59961,-9.149322509765625e-06,0.0023422086926613048,33495,2.9855202268995374e-05,510.871,100.0
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0001.sdt,glu,19.906968911437986,20.453400000000002,0.9999847412109375,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sz-1component-b5::3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0001,True,1,0.59961,-9.149322509765625e-06,0.0023422086926613048,57311,1.744865732581878e-05,513.662,100.0
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0002.sdt,glu,19.872812616271972,20.848550000000003,0.9999847412109375,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sz-1component-b5::3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0002,True,1,0.59961,-9.149322509765625e-06,0.0023422086926613048,50865,1.965988400668436e-05,506.193,100.0
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0003.sdt,glu,13.01374726776123,12.78435,0.9999847412109375,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sz-1component-b5::3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0003,True,1,0.59961,-9.149322509765625e-06,0.0023422086926613048,16894,0.0,501.1545,100.0
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0004.sdt,glu,22.174734709014892,23.025100000000002,0.9999847412109375,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sz-1component-b5::3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0004,True,1,0.59961,-9.149322509765625e-06,0.0023422086926613048,59961,1.667750704624673e-05,502.546,100.0
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0005.sdt,glu,8.188463263244628,6.11428,0.9997711181640625,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sz-1component-b5::3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0005,True,1,0.59961,-9.149322509765625e-06,0.0023422086926613048,9258,0.0,508.65999999999997,100.0
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0006.sdt,glu,9.454471743164063,8.166409999999999,0.997406005859375,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sz-1component-b5::3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0006,True,1,0.59961,-9.149322509765625e-06,0.0023422086926613048,8272,0.00012088974854932302,521.6955,100.0
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0007.sdt,glu,8.939020569763183,8.38796,0.9983062744140625,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sz-1component-b5::3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0007,True,1,0.59961,-9.149322509765625e-06,0.0023422086926613048,2872,0.0,513.962,100.0
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0008.sdt,glu,17.062014630279542,17.854349999999997,0.9999847412109375,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sz-1component-b5::3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0008,True,1,0.59961,-9.149322509765625e-06,0.0023422086926613048,50489,1.980629444037315e-05,518.615,100.0
