fixation_type,cell_type,session_root,session_date,filename,fit_set_key,em_filter_nm,pockels,objective,usb_atten,frame_index,z_position,n_components,_bin,shift_group,treatment_duration,amp_ratio_median,tau_mean_median_ps,n_px_final,pct_final,amp_ratio_median_gmed,tau_mean_median_ps_gmed,_dist
form,BKO,20260520_KPC_fixed_dishes_SLIM,20260520,4_BKOCO2form10min_740nm_3099mW_u1_poc0p25_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0002.sdt,20260520_KPC_fixed_dishes_SLIM::fitet-sz-c2-b9::4_BKOCO2form10min_740nm_3099mW_u1_poc0p25_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0002,457,0.25,20x0.75NA,1,2,1.0,2,9,shift=0,10min,3.183803346015344,570.0134497670608,65447,99.9,3.183803346015344,570.0134497670608,0.0
form,BKO,20260520_KPC_fixed_dishes_SLIM,20260520,4_BKOCO2form10min_740nm_3099mW_u1_poc0p25_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0009.sdt,20260520_KPC_fixed_dishes_SLIM::fitet-sz-c2-b9::4_BKOCO2form10min_740nm_3099mW_u1_poc0p25_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0009,457,0.25,20x0.75NA,1,9,1.0,2,9,shift=0,10min,3.1457862706181574,590.5304024055775,61794,94.3,3.183803346015344,570.0134497670608,0.2351968088719798
form,BKO,20260520_KPC_fixed_dishes_SLIM,20260520,4_BKOCO2form10min_740nm_3099mW_u1_poc0p25_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0008.sdt,20260520_KPC_fixed_dishes_SLIM::fitet-sz-c2-b9::4_BKOCO2form10min_740nm_3099mW_u1_poc0p25_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0008,457,0.25,20x0.75NA,1,8,1.0,2,9,shift=0,10min,3.150828089136933,593.1195454771284,65362,99.7,3.183803346015344,570.0134497670608,0.25851755130685933
form,BKO,20260520_KPC_fixed_dishes_SLIM,20260520,4_BKOCO2form10min_740nm_3099mW_u1_poc0p25_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0007.sdt,20260520_KPC_fixed_dishes_SLIM::fitet-sz-c2-b9::4_BKOCO2form10min_740nm_3099mW_u1_poc0p25_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0007,457,0.25,20x0.75NA,1,7,1.0,2,9,shift=0,10min,3.153443827967629,593.3723268478889,65485,99.9,3.183803346015344,570.0134497670608,0.259721592596953
form,BKO,20260520_KPC_fixed_dishes_SLIM,20260520,4_BKOCO2form10min_740nm_3099mW_u1_poc0p25_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0003.sdt,20260520_KPC_fixed_dishes_SLIM::fitet-sz-c2-b9::4_BKOCO2form10min_740nm_3099mW_u1_poc0p25_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0003,457,0.25,20x0.75NA,1,3,1.0,2,9,shift=0,10min,3.135374749834185,593.102103740285,65422,99.8,3.183803346015344,570.0134497670608,0.26898531604864206
form,BKO,20260520_KPC_fixed_dishes_SLIM,20260520,4_BKOCO2form10min_740nm_3099mW_u1_poc0p25_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0001.sdt,20260520_KPC_fixed_dishes_SLIM::fitet-sz-c2-b9::4_BKOCO2form10min_740nm_3099mW_u1_poc0p25_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0001,457,0.25,20x0.75NA,1,1,1.0,2,9,shift=0,10min,3.1491391864485525,596.2856276139613,65427,99.8,3.183803346015344,570.0134497670608,0.29238619390265846
form,BKO,20260520_KPC_fixed_dishes_SLIM,20260520,4_BKOCO2form10min_740nm_3099mW_u1_poc0p25_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0015.sdt,20260520_KPC_fixed_dishes_SLIM::fitet-sz-c2-b9::4_BKOCO2form10min_740nm_3099mW_u1_poc0p25_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0015,457,0.25,20x0.75NA,1,15,1.0,2,9,shift=0,10min,3.045967415720667,574.7920557287812,65099,99.3,3.183803346015344,570.0134497670608,0.29573255463740794
form,BKO,20260520_KPC_fixed_dishes_SLIM,20260520,4_BKOCO2form10min_740nm_3099mW_u1_poc0p25_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0010.sdt,20260520_KPC_fixed_dishes_SLIM::fitet-sz-c2-b9::4_BKOCO2form10min_740nm_3099mW_u1_poc0p25_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0010,457,0.25,20x0.75NA,1,10,1.0,2,9,shift=0,10min,3.122009931291152,595.19006314101,53872,82.2,3.183803346015344,570.0134497670608,0.3010439181102862
form,BKO,20260520_KPC_fixed_dishes_SLIM,20260520,4_BKOCO2form10min_740nm_3099mW_u1_poc0p25_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0013.sdt,20260520_KPC_fixed_dishes_SLIM::fitet-sz-c2-b9::4_BKOCO2form10min_740nm_3099mW_u1_poc0p25_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0013,457,0.25,20x0.75NA,1,13,1.0,2,9,shift=0,10min,3.0709315905871826,590.9528133714299,64021,97.7,3.183803346015344,570.0134497670608,0.3282803994262374
form,BKO,20260520_KPC_fixed_dishes_SLIM,20260520,4_BKOCO2form10min_740nm_3099mW_u1_poc0p25_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0014.sdt,20260520_KPC_fixed_dishes_SLIM::fitet-sz-c2-b9::4_BKOCO2form10min_740nm_3099mW_u1_poc0p25_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0014,457,0.25,20x0.75NA,1,14,1.0,2,9,shift=0,10min,3.1023283752860413,597.9118576937315,65489,99.9,3.183803346015344,570.0134497670608,0.34638708374960264
