filename,session,G_urea_interp,S_urea_interp,dist_from_10,urea_phase_add,urea_mod_scale
3_KPCWTformP4num4_740nm_3037mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_30f_0000.sdt,20260429_KPC_fixed_dishes_on_SLIM,1.00054,0.00722,0.00724,-0.007221,0.999435
3_KPCWTformP4num4_740nm_3037mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_30f_0001.sdt,20260429_KPC_fixed_dishes_on_SLIM,1.00053,0.00724,0.00726,-0.007236,0.999444
3_KPCWTformP4num4_740nm_3037mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_30f_0002.sdt,20260429_KPC_fixed_dishes_on_SLIM,1.00052,0.00726,0.00727,-0.007251,0.999453
3_KPCWTformP4num4_740nm_3037mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_30f_0003.sdt,20260429_KPC_fixed_dishes_on_SLIM,1.00051,0.00727,0.00729,-0.007267,0.999461
3_KPCWTformP4num4_740nm_3037mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_30f_0004.sdt,20260429_KPC_fixed_dishes_on_SLIM,1.0005,0.00729,0.0073,-0.007282,0.99947
3_KPCWTformP4num4_740nm_3037mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_30f_0005.sdt,20260429_KPC_fixed_dishes_on_SLIM,1.00049,0.0073,0.00732,-0.007298,0.999479
3_KPCWTformP4num4_740nm_3037mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_30f_0006.sdt,20260429_KPC_fixed_dishes_on_SLIM,1.00049,0.00732,0.00733,-0.007313,0.999488
3_KPCWTformP4num4_740nm_3037mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_30f_0007.sdt,20260429_KPC_fixed_dishes_on_SLIM,1.00048,0.00733,0.00735,-0.007328,0.999497
3_KPCWTformP4num4_740nm_3037mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_30f_0008.sdt,20260429_KPC_fixed_dishes_on_SLIM,1.00047,0.00735,0.00736,-0.007344,0.999505
3_KPCWTformP4num4_740nm_3037mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_30f_0009.sdt,20260429_KPC_fixed_dishes_on_SLIM,1.00046,0.00736,0.00738,-0.007359,0.999514
